tweet_id,user_id,tweet,target_word,Function,Aggression_Votes,Emotion_Votes,Emphasis_Votes,Auxiliary_Votes,Signal_Votes,NonVulgar_Votes
456051241970573312,242136273,$100 for zac brown Fenway tickets is pretty <b>shitty</b>,shitty,1,0,3,3,1,0,0
852903968409825283,429588160,"Maybe we need a bill that says no lawmakers can use ANY public restroom. Karma's a <b>bitch,</b> ain't it? <URL>",bitch,1,2,2,1,1,1,0
372491330456272896,220713223,<USER> haha you got some new <b>shit?</b>,shit,1,0,3,3,1,0,0
226674116961382401,205042068,Im done being the nice guy. <b>Fuck</b> that shit.,fuck,1,3,3,1,0,0,0
810281598591635456,68904928,"<USER> best one since Empire, but the emotional resonance is just not there. They tried though, holy <b>shit</b> did they try.",shit,2,0,3,3,1,0,0
209610251597651969,24067153,#YOLO? I prefer #FISH - <b>Fuck</b> It! Shit Happens!,fuck,1,0,3,3,1,0,0
209610251597651969,24067153,#YOLO? I prefer #FISH - Fuck It! <b>Shit</b> Happens!,shit,3,0,3,1,3,0,0
578348343169941505,228675518,Lucious is gonna get his <b>ass</b> handed to him tonight. I see it coming. #Empire,ass,3,2,0,2,2,1,0
182892826328178688,17412436,Worst Nightmare - Clients From <b>Hell</b> <URL> via <USER>,hell,1,0,2,1,1,1,2
331928647457968128,194394101,Bouta shut this <b>nigga</b> all the way down.,nigga,4,3,0,1,0,3,0
827907545079627777,61663024,<USER> I mean I knew someone was gonna die but geez didn't think you were that <b>hell</b> bent on breaking all hearts #VampireDiaries,hell,3,0,1,3,3,0,0
883099214078726145,30767096,"I don't especially want to talk about it, but could use some extra love right now, especially after this <b>shit</b> show of a week.",shit,2,0,3,3,1,0,0
626804037195833344,3367316435,Guy In Philosophy Class Needs To Shut The <b>Fuck</b> Up <URL> via <USER>,fuck,1,3,1,3,0,0,0
692709317955420160,241652764,<b>fucked</b> up tatoost: <URL> via <USER>,fucked,1,0,3,3,1,0,0
712301373715521537,2227453291,"Hey #FDA why don't you smoke so pot and get the <b>fuck</b> over yourselves. People love weed again, and you can't stop them. We WONT stop!",fuck,1,1,3,3,0,0,0
718235582552477697,2421123722,<USER> <USER> you said 20 yrs liar i watch the show you need help don't nobody want your old stale ugly dried up <b>ass</b>,ass,2,3,0,1,3,0,0
419320185850314752,542126727,"Gee, thanks Amber Alert for scaring the <b>hell</b> out of me",hell,0,0,3,3,0,0,1
888475146159177728,33563474,"<USER> I was like dude we get it, im pretty sure #45 got enough lips on his <b>ass</b> already, he should be running outta space.",ass,2,1,1,2,2,0,1
